Date,Open,High,Low,Close,Adj Close,Volume
2017-12-04,14914.196289,15332.369141,14560.241211,15332.369141,15332.369141,8065776478
2017-12-05,15369.854492,15765.199219,15169.411133,15673.681641,15673.681641,9069130817
2017-12-06,15682.494141,19001.718750,15680.431641,18889.109375,18889.109375,16727861528
2017-12-07,18855.537109,23834.486328,18626.341797,23834.486328,23834.486328,23902396165
2017-12-08,23705.593750,24467.937500,19100.585938,22080.757813,22080.757813,28166309936
2017-12-09,22019.324219,22365.404297,18223.480469,20226.812500,20226.812500,18538512921
2017-12-10,20213.753906,21122.867188,17626.066406,20590.728516,20590.728516,17896749225
2017-12-11,20553.423828,23255.744141,20515.115234,22498.406250,22498.406250,16144925654
2017-12-12,22475.824219,23545.816406,21998.671875,23051.490234,23051.490234,19329979553
2017-12-13,23163.468750,23329.060547,21077.134766,21507.667969,21507.667969,17009962113
2017-12-14,21476.732422,22293.582031,21119.390625,21612.734375,21612.734375,17976774280
2017-12-15,21661.404297,23690.589844,21661.404297,23164.443359,23164.443359,18720564647
2017-12-16,23234.302734,25793.693359,22913.789063,25506.802734,25506.802734,16667451345
2017-12-17,25478.546875,26280.742188,24776.833984,25037.019531,25037.019531,17416088863
2017-12-18,24992.021484,25295.117188,24013.474609,24943.494141,24943.494141,19365130857
2017-12-19,24948.845703,25033.025391,22549.798828,23234.478516,23234.478516,22081427055
2017-12-20,23213.044922,23367.685547,20980.947266,21674.835938,21674.835938,28878356694
2017-12-21,21698.044922,22919.373047,19912.654297,20509.929688,20509.929688,21436210004
2017-12-22,20633.355469,20694.964844,15341.630859,17928.451172,17928.451172,28772520565
2017-12-23,18079.974609,20224.498047,17924.562500,19052.753906,19052.753906,16961762966
2017-12-24,18934.802734,18957.875000,16523.267578,18061.998047,18061.998047,15009467933
2017-12-25,18152.917969,18880.837891,17432.146484,18164.464844,18164.464844,13810800187
2017-12-26,18177.414063,21311.753906,18181.570313,20830.378906,20830.378906,17407556165
2017-12-27,20912.796875,21851.962891,19447.117188,20376.302734,20376.302734,16065354597
2017-12-28,20409.236328,20440.500000,17884.382813,18743.103516,18743.103516,15830231890
2017-12-29,18857.693359,19578.421875,18297.736328,18787.591797,18787.591797,16697218510
2017-12-30,18820.537109,18820.537109,15831.431641,16603.255859,16603.255859,18526598908
2017-12-31,16533.392578,18439.656250,16359.625000,18156.214844,18156.214844,15565345030
2018-01-01,18099.525391,18099.525391,16865.000000,17513.722656,17513.722656,13197230059
2018-01-02,17472.429688,19729.943359,16809.601563,19136.669922,19136.669922,21518201804
2018-01-03,19131.689453,19942.117188,18948.812500,19428.681641,19428.681641,21564289571
